Newick_label,family,order,class,correctedName
Rousettus_egyptiacus,Pteropodidae,Chiroptera,Mammalia,
Callithrix_jacchus,Cebidae,Primates,Mammalia,
Tadarida_brasiliensis,Molossidae,Chiroptera,Mammalia,
Northern_redbacked_vole,Cricetidae,Rodentia,Mammalia,
Bos_taurus,Bovidae,Artiodactyla,Mammalia,Bos_taurus
Capra_aegagrus_hircus,Bovidae,Artiodactyla,Mammalia,
Rupicapra_rupicapra,Bovidae,Artiodactyla,Mammalia,
Pan_troglodytes,Hominidae,Primates,Mammalia,
Sus_scrofa,Suidae,Artiodactyla,Mammalia,
Miniopterus_schreibersii,Vespertilionidae,Chiroptera,Mammalia,
Rattus_rattus,Muridae,Rodentia,Mammalia,Rattus_rattus
Eothenomys_cachinus,Cricetidae,Rodentia,Mammalia,
Acerodon_celebensis,Pteropodidae,Chiroptera,Mammalia,
Homo_sapiens,Hominidae,Primates,Mammalia,
Epomophorus_gambianus,Pteropodidae,Chiroptera,Mammalia,
Felis_catus,Felidae,Carnivora,Mammalia,
Pteropus_alecto,Pteropodidae,Chiroptera,Mammalia,
Cervus_nippon,Cervidae,Artiodactyla,Mammalia,
Pantholops_hodgsonii,Bovidae,Artiodactyla,Mammalia,
Tursiops_truncatus,Delphinidae,Artiodactyla,Mammalia,Tursiops_truncatus
Rattus_norvegicus,Muridae,Rodentia,Mammalia,
Bison_bison,Bovidae,Artiodactyla,Mammalia,
Bubalis_bubalis,Bovidae,Artiodactyla,Mammalia,Bubalis_bubalis
Pipistrellus_pipistrellus,Vespertilionidae,Chiroptera,Mammalia,
Myotis_daubentonii,Vespertilionidae,Chiroptera,Mammalia,
Bos_indicus,Bovidae,Artiodactyla,Mammalia,
Procyon_lotor,Procyonidae,Carnivora,Mammalia,Procyon_lotor
Bos_taurus,Bovidae,Artiodactyla,Mammalia,Bos_taurus
Elephas_maximus,Elephantidae,Proboscidea,Mammalia,
Artibeus_hirsutus,Phyllostomidae,Chiroptera,Mammalia,
Canis_lupus,Canidae,Carnivora,Mammalia,
Pan_paniscus,Hominidae,Primates,Mammalia,
Antilocapra_americana,Antilocapridae,Artiodactyla,Mammalia,Antilocapra_americana
Tapirus_terrestris_,Tapiridae,Perissodactyla,Mammalia,Tapirus_terrestris 
Neophocaena_asiaeorientalis,Phocoenidae,Artiodactyla,Mammalia,
Gorilla_gorilla,Hominidae,Primates,Mammalia,Gorilla_gorilla
Phascolarctos_cinereus,Phascolarctidae,Diprotodontia,Mammalia,
Taphozous_perforatus,Emballonuridae,Chiroptera,Mammalia,
Myodes_rutilus,Cricetidae,Rodentia,Mammalia,
Hipposideros_larvatus,Hipposideridae,Chiroptera,Mammalia,
Macropus_fuliginosus,Macropodidae,Diprotodontia,Mammalia,Macropus_fuliginosus
Rattus_exulans,Muridae,Rodentia,Mammalia,
Molossus_molossus,Molossidae,Chiroptera,Mammalia,
Mastomys_natalensis,Muridae,Rodentia,Mammalia,
Oligoryzomys_nigripes,Cricetidae,Rodentia,Mammalia,
Muntiacus_reevesi,Cervidae,Artiodactyla,Mammalia,Muntiacus_reevesi
Rhinopithecus_bieti,Cercopithecidae,Primates,Mammalia,
Chaerephon_pumilus,Molossidae,Chiroptera,Mammalia,
Elephas_maximus,Elephantidae,Proboscidea,Mammalia,Elephas_maximus
Trichechus_manatus_manatus,Trichechidae,Sirenia,Mammalia,
Rattus_rattus,Muridae,Rodentia,Mammalia,Rattus_rattus
Rattus_rattus,Muridae,Rodentia,Mammalia,
Suncus_murinus,Soricidae,Eulipotyphla,Mammalia,
Apodemus_agrarius,Muridae,Rodentia,Mammalia,
Macaca_fascicularis,Cercopithecidae,Primates,Mammalia,
Bubalus_bubalis,Bovidae,Artiodactyla,Mammalia,
Sus_scrofa,Suidae,Artiodactyla,Mammalia,Sus_scrofa
Bos_grunniens,Bovidae,Artiodactyla,Mammalia,Bos_grunniens
Apodemus_flavicollis,Muridae,Rodentia,Mammalia,
Neovison_vison,Mustelidae,Carnivora,Mammalia,
Cavia_porcellus,Caviidae,Rodentia,Mammalia,
Oryctolagus_cuniculus,Leporidae,Lagomorpha,Mammalia,
Pantholops_hodgsonii,Bovidae,Artiodactyla,Mammalia,Pantholops_hodgsonii
Cervus_elaphus,Cervidae,Artiodactyla,Mammalia,
Cervus_nippon,Artiodactyla,Artiodactyla,Mammalia,Cervus_nippon
Microtus_arvalis,Cricetidae,Rodentia,Mammalia,
Oryctolagus_cuniculus,Leporidae,Lagomorpha,Mammalia,Oryctolagus_cuniculus
Meles_meles,Mustelidae,Carnivora,Mammalia,
Carollia_perspicillata,Phyllostomidae,Chiroptera,Mammalia,
Vulpes_vulpes,Canidae,Carnivora,Mammalia,
Marmota_himalayana,Sciuridae,Rodentia,Mammalia,
Myodes_glareolus,Cricetidae,Rodentia,Mammalia,
Ailuropoda_melanoleuca,Ursidae,Carnivora,Mammalia,Ailuropoda_melanoleuca
Lemur_catta,Lemuridae,Primates,Mammalia,
Microtus_agrestis,Cricetidae,Rodentia,Mammalia,
Vicugna_pacos,Camelidae,Artiodactyla,Mammalia,Vicugna_pacos
Cervus_elaphus,Cervidae,Artiodactyla,Mammalia,Cervus_elaphus
Macropus_eugenii,Macropodidae,Diprotodontia,Mammalia,Macropus_eugenii
Elephas_maximus,Elephantidae,Proboscidea,Mammalia,Elephas_maximus
Panthera_leo,Felidae,Carnivora,Mammalia,
Alces_alces,Cervidae,Artiodactyla,Mammalia,
Macaca_fuscata,Cercopithecidae,Primates,Mammalia,
Zalophus_californianus,Otariidae,Carnivora,Mammalia,
Melursus_ursinus,Ursidae,Carnivora,Mammalia,Melursus_ursinus
Vicugna_pacos,Camelidae,Artiodactyla,Mammalia,
Tursiops_truncatus,Delphinidae,Artiodactyla,Mammalia,
Macropus_eugenii,Macropodidae,Diprotodontia,Mammalia,
Equus_africanus_asinus,Equidae,Perissodactyla,Mammalia,
Papio_hamadryas,Cercopithecidae,Primates,Mammalia,
Cervus_nippon,Cervidae,Artiodactyla,Mammalia,Cervus_nippon
Bos_frontalis,Bovidae,Artiodactyla,Mammalia,
Budorcas_taxicolor,Bovidae,Artiodactyla,Mammalia,
Procyon_lotor,Procyonidae,Carnivora,Mammalia,
Rattus_tanezumi,Muridae,Rodentia,Mammalia,
Pteropus_giganteus,Pteropodidae,Chiroptera,Mammalia,
Gorilla_gorilla,Hominidae,Primates,Mammalia,Gorilla_gorilla
Vulpes_lagopus,Canidae,Carnivora,Mammalia,
Plecotus_auritus,Vespertilionidae,Chiroptera,Mammalia,
Lepus_europaeus,Leporidae,Lagomorpha,Mammalia,
Pongo_pygmaeus,Hominidae,Primates,Mammalia,
Macropus_fuliginosus,Macropodidae,Diprotodontia,Mammalia,Macropus_fuliginosus
Pteropus_lylei,Pteropodidae,Chiroptera,Mammalia,
Pongo_pygmaeus,Hominidae,Primates,Mammalia,Pongo_pygmaeus
Saimiri_sciureus,Cebidae,Primates,Mammalia,
Canis_latrans,Canidae,Carnivora,Mammalia,
Miniopterus_fuliginosus,Vespertilionidae,Chiroptera,Mammalia,
Cynopterus_brachyotis,Pteropodidae,Chiroptera,Mammalia,
Eptesicus_serotinus,Vespertilionidae,Chiroptera,Mammalia,
Pipistrellus_pygmaeus,Vespertilionidae,Chiroptera,Mammalia,
Mustela_furo,Mustelidae,Carnivora,Mammalia,Mustela_furo
Hipposideros_gigas,Hipposideridae,Chiroptera,Mammalia,
Rhinolophus_ferrumequinum,Rhinolophidae,Chiroptera,Mammalia,
Sorex_araneus,Soricidae,Eulipotyphla,Mammalia,
Canis_mesomelas,Canidae,Carnivora,Mammalia,
Nyctalus_noctula,Vespertilionidae,Chiroptera,Mammalia,
Mandrillus_sphinx,Cercopithecidae,Primates,Mammalia,
Scotophilus_kuhlii,Vespertilionidae,Chiroptera,Mammalia,
Arctocephalus_tropicalis,Otariidae,Carnivora,Mammalia,
Myotis_nattereri,Vespertilionidae,Chiroptera,Mammalia,
Myotis_ricketti,Vespertilionidae,Chiroptera,Mammalia,
Myotis_horsfieldii,Vespertilionidae,Chiroptera,Mammalia,
Triaenops_persicus,Rhinonycteridae,Chiroptera,Mammalia,
Rhinolophus_affinis,Rhinolophidae,Chiroptera,Mammalia,
Hipposideros_armiger,Hipposideridae,Chiroptera,Mammalia,
Sus_scrofa,Suidae,Artiodactyla,Mammalia,Sus_scrofa
Gorilla_beringei,Hominidae,Primates,Mammalia,
Rattus_rattus,Muridae,Rodentia,Mammalia,Rattus_rattus
Eulemur_fulvus,Lemuridae,Primates,Mammalia,
Panthera_pardus,Felidae,Carnivora,Mammalia,Panthera_pardus
Mirounga_angustirostris,Phocidae,Carnivora,Mammalia,
Pongo_abelii,Hominidae,Primates,Mammalia,
Papio_anubis,Cercopithecidae,Primates,Mammalia,
Macaca_sylvanus,Cercopithecidae,Primates,Mammalia,
Crocidura_hirta,Soricidae,Eulipotyphla,Mammalia,
Carollia_sowelli,Phyllostomidae,Chiroptera,Mammalia,
Mandrillus_leucophaeus,Cercopithecidae,Primates,Mammalia,
Sapajus_nigritus,Cebidae,Primates,Mammalia,
Trichechus_manatus,Tichechidae,Sirenia,Mammalia,Trichechus_manatus
Macropus_eugenii,Macropodidae,Diprotodontia,Mammalia,Macropus_eugenii
Canis_lupus,Canidae,Carnivora,Mammalia,Canis_lupus
Caretta_caretta,Cheloniidae,Testudines,Reptilia,
Japalura_polygonata,Agamidae,Squamata,Reptilia,
Bothrops_insularis,Viperidae,Squamata,Reptilia,
Oreochromis_tanganicae,,,Actinopterygii,
Paralichthys_dentatus,,,Actinopterygii,
Limanda_limanda,,,Actinopterygii,
Siganus_vulpinus,,,Actinopterygii,
Larimichthys_crocea,,,Actinopterygii,
Chilomycterus_schoepfii,,,Actinopterygii,
Tor_douronensis,,,Actinopterygii,
Mustela_putorius,Mustela,Carnivora,Mammalia,
Equus_asinus,Equidae,Perissodactyla,Mammalia,
Phocoena_phocoena,Phocoenidae,Artiodactyla,Mammalia,
Capra_hircus,Bovidae,Artiodactyla,Mammalia,
Rousettus_aegyptiacus,Pteropodidae,Chiroptera,Mammalia,
Taphozous_georgianus,Emballonuridae,Chiroptera,Mammalia,
