Newick_label,updatedScientificName,Diet,family,order,class,correctedName,domestication
Pavo_cristatus,Pavo cristatus,O,Phasianidae,Galliformes,Aves,,W
Anas_superciliosa,Anas superciliosa,O,Anatidae,Anseriformes,Aves,,W
Taeniopygia_guttata,Taeniopygia guttata,O,Estrildidae,Passeriformes,Aves,,W
Anser_cygnoides,Anser cygnoides,H,Anatidae,Anseriformes,Aves,,D
Anser_indicus,Anser indicus,H,Anatidae,Anseriformes,Aves,,W
Tyto_alba,Tyto alba,C,Tytonidae,Strigiformes,Aves,,W
Phoenicopteridae,Phoenicopteridae,O,Phoenicopteriformes,Phoenicopteriformes,Aves,,W
Lanius_cristatus,Lanius cristatus,C,Laniidae,Passeriformes,Aves,,W
Luscinia_cyanura,Luscinia cyanura,O,Turdidae,Passeriformes,Aves,,W
Abrornis_proregulus,Abrornis proregulus,C,Phylloscopidae,Passeriformes,Aves,,W
Partridge,Partridge,O,Phasianidae,Galliformes,Aves,,D
Pheasant,Pheasant,O,Phasianidae,Galliformes,Aves,,D
Swan,Swan,O,Anatidae,Anseriformes,Aves,Anser_cygnoides,W
Octopus_vulgaris,Octopus vulgaris,C,Octopodidae,Octopoda,Cephalopoda,,W
Octopus_mimus,Octopus mimus,C,Octopodidae,Octopoda,Cephalopoda,,W
Zearaja_nasuta,Zearaja nasuta,C,Rajidae,Rajiformes,Chondrichthyes,,W
Black_Bear,Black Bear,O,Ursidae,Carnivora,Mammalia,Ursus_americanus,W
Fox,Fox,O,Canidae,Carnivora,Mammalia,Vulpes_vulpes,W
Arctocephalus_australis,Arctocephalus australis,C,Otariidae,Carnivora,Mammalia,,W
Macaca_mulatta,Macaca mulatta,O,Cercopithecidae,Primates,Mammalia,,W
Camelus_dromedarius,Camelus dromedarius,H,Camelidae,Artiodactyla,Mammalia,,D
Equus_caballus,Equus caballus,H,Equidae,Perissodactyla,Mammalia,,D
Eidolon_helvum,Eidolon helvum,H,Pteropodidae,Chiroptera,Mammalia,,W
Eptesicus_fuscus,Eptesicus fuscus,C,Vespertilionidae,Chiroptera,Mammalia,,W
Hydrochoerus_hydrochaeris,Hydrochoerus hydrochaeris,H,Hydrochaeridae,Rodentia,Mammalia,,W
Gorilla,Gorilla,H,Hominidae,Primates,Mammalia,Gorilla_gorilla,W
Mus_musculus,Mus musculus,O,Muridae,Rodentia,Mammalia,,D
Dama_dama,Dama dama,H,Cervidae,Artiodactyla,Mammalia,,W
Ovis_aries,Ovis aries,H,Bovidae,Artiodactyla,Mammalia,,D
Lama_glama,Lama glama,H,Camelidae,Artiodactyla,Mammalia,,D
Bos_taurus,Bos taurus,H,Bovidae,Artiodactyla,Mammalia,,D
Canis_familiaris,Canis familiaris,O,Canidae,Carnivora,Mammalia,,D
Capra_hircus,Capra hircus,H,Bovidae,Artiodactyla,Mammalia,Capra_aegagrus_hircus,D
Rousettus_egyptiacus,Rousettus egyptiacus,O,Pteropodidae,Chiroptera,Mammalia,,W
Callithrix_jacchus,Callithrix jacchus,O,Cebidae,Primates,Mammalia,,W
Tadarida_brasiliensis,Tadarida brasiliensis,C,Molossidae,Chiroptera,Mammalia,,W
Northern_redbacked_vole,Northern redbacked vole,O,Cricetidae,Rodentia,Mammalia,,W
Bos_primigenius,Bos primigenius,H,Bovidae,Artiodactyla,Mammalia,Bos_taurus,D
Capra_aegagrus_hircus,Capra aegagrus hircus,O,Bovidae,Artiodactyla,Mammalia,,D
Rupicapra_rupicapra,Rupicapra rupicapra,H,Bovidae,Artiodactyla,Mammalia,,W
Pan_troglodytes,Pan troglodytes,O,Hominidae,Primates,Mammalia,,W
Sus_scrofa,Sus scrofa,O,Suidae,Artiodactyla,Mammalia,,D
Miniopterus_schreibersii,Miniopterus schreibersii,C,Vespertilionidae,Chiroptera,Mammalia,,W
Rat,Rat,O,Muridae,Rodentia,Mammalia,Rattus_rattus,D
Eothenomys_cachinus,Eothenomys cachinus,O,Cricetidae,Rodentia,Mammalia,,W
Acerodon_celebensis,Acerodon celebensis,O,Pteropodidae,Chiroptera,Mammalia,,W
Homo_sapiens,Homo sapiens,O,Hominidae,Primates,Mammalia,,D
Epomophorus_gambianus,Epomophorus gambianus,H,Pteropodidae,Chiroptera,Mammalia,,W
Felis_catus,Felis catus,C,Felidae,Carnivora,Mammalia,,D
Pteropus_alecto,Pteropus alecto,H,Pteropodidae,Chiroptera,Mammalia,,W
Cervus_nippon,Cervus nippon,H,Cervidae,Artiodactyla,Mammalia,,D
Pantholops_hodgsonii,Pantholops hodgsonii,H,Bovidae,Artiodactyla,Mammalia,,W
Delphinus,Delphinus,C,Delphinidae,Artiodactyla,Mammalia,Tursiops_truncatus,W
Rattus_norvegicus,Rattus norvegicus,O,Muridae,Rodentia,Mammalia,,D
Bison_bison,Bison bison,H,Bovidae,Artiodactyla,Mammalia,,D
Buffalo,Buffalo,H,Bovidae,Artiodactyla,Mammalia,Bubalis_bubalis,D
Pipistrellus_pipistrellus,Pipistrellus pipistrellus,O,Vespertilionidae,Chiroptera,Mammalia,,W
Myotis_daubentonii,Myotis daubentonii,C,Vespertilionidae,Chiroptera,Mammalia,,W
Bos_indicus,Bos indicus,H,Bovidae,Artiodactyla,Mammalia,,D
Raccoon,Raccoon,O,Procyonidae,Carnivora,Mammalia,Procyon_lotor,W
Crossbred_cattle,Crossbred cattle,H,Bovidae,Artiodactyla,Mammalia,Bos_taurus,D
Elephas_maximus,Elephas maximus,H,Elephantidae,Proboscidea,Mammalia,,D
Artibeus_hirsutus,Artibeus hirsutus,H,Phyllostomidae,Chiroptera,Mammalia,,W
Canis_lupus,Canis lupus,O,Canidae,Carnivora,Mammalia,,W
Pan_paniscus,Pan paniscus,O,Hominidae,Primates,Mammalia,,W
Pronghorn,Pronghorn,H,Antilocapridae,Artiodactyla,Mammalia,,W
Tapir,Tapir,H,Tapiridae,Perissodactyla,Mammalia,,W
Neophocaena_phocaenoides_asiaeorientalis,Neophocaena phocaenoides asiaeorientalis,C,Phocoenidae,Artiodactyla,Mammalia,,W
Gorilla_gorilla,Gorilla gorilla,H,Hominidae,Primates,Mammalia,Gorilla_gorilla,W
Phascolarctos_cinereus,Phascolarctos cinereus,H,Phascolarctidae,Diprotodontia,Mammalia,,W
Hamster,Hamster,O,Cricetidae,Rodentia,Mammalia,,D
Taphozous_perforatus,Taphozous perforatus,C,Emballonuridae,Chiroptera,Mammalia,,W
Myodes_rutilus,Myodes rutilus,H,Cricetidae,Rodentia,Mammalia,,W
