Newick_label,updatedScientificName,family,order,class,correctedName
Phoenicopteridae,Phoenicopterus_roseus,Phoenicopteriformes,Phoenicopteriformes,Aves,Phoenicopterus_roseus
Lanius_cristatus,Lanius_cristatus,Laniidae,Passeriformes,Aves,
Luscinia_cyanura,Luscinia_cyanura,Turdidae,Passeriformes,Aves,
Abrornis_proregulus,Abrornis_proregulus,Phylloscopidae,Passeriformes,Aves,
Swan,Anser_cygnoides,Anatidae,Anseriformes,Aves,Anser_cygnoides
Octopus_vulgaris,Octopus_vulgaris,Octopodidae,Octopoda,Cephalopoda,
Octopus_mimus,Octopus_vulgaris,Octopodidae,Octopoda,Cephalopoda,Octopus_vulgaris
Zearaja_nasuta,Zearaja_nasuta,Rajidae,Rajiformes,Chondrichthyes,
Black_Bear,Ursus_americanus,Ursidae,Carnivora,Mammalia,Ursus_americanus
Fox,Vulpes_vulpes,Canidae,Carnivora,Mammalia,Vulpes_vulpes
Arctocephalus_australis,Arctocephalus_australis,Otariidae,Carnivora,Mammalia,
Macaca_mulatta,Macaca_mulatta,Cercopithecidae,Primates,Mammalia,
Camelus_dromedarius,Camelus_dromedarius,Camelidae,Artiodactyla,Mammalia,
Equus_caballus,Equus_caballus,Equidae,Perissodactyla,Mammalia,
Eidolon_helvum,Eidolon_helvum,Pteropodidae,Chiroptera,Mammalia,
Eptesicus_fuscus,Eptesicus_fuscus,Vespertilionidae,Chiroptera,Mammalia,
Hydrochoerus_hydrochaeris,Hydrochoerus_hydrochaeris,Hydrochaeridae,Rodentia,Mammalia,
Gorilla,Gorilla_gorilla,Hominidae,Primates,Mammalia,Gorilla_gorilla
Mus_musculus,Mus_musculus,Muridae,Rodentia,Mammalia,
Dama_dama,Dama_dama,Cervidae,Artiodactyla,Mammalia,
Ovis_aries,Ovis_aries,Bovidae,Artiodactyla,Mammalia,
Lama_glama,Lama_glama,Camelidae,Artiodactyla,Mammalia,
Bos_taurus,Bos_taurus,Bovidae,Artiodactyla,Mammalia,
Canis_familiaris,Canis_familiaris,Canidae,Carnivora,Mammalia,
Capra_hircus,Capra_aegagrus_hircus,Bovidae,Artiodactyla,Mammalia,Capra_aegagrus_hircus
Rousettus_egyptiacus,Rousettus_egyptiacus,Pteropodidae,Chiroptera,Mammalia,
Callithrix_jacchus,Callithrix_jacchus,Cebidae,Primates,Mammalia,
Tadarida_brasiliensis,Tadarida_brasiliensis,Molossidae,Chiroptera,Mammalia,
Northern_redbacked_vole,Northern_redbacked_vole,Cricetidae,Rodentia,Mammalia,
Bos_primigenius,Bos_taurus,Bovidae,Artiodactyla,Mammalia,Bos_taurus
Capra_aegagrus_hircus,Capra_aegagrus_hircus,Bovidae,Artiodactyla,Mammalia,
Rupicapra_rupicapra,Rupicapra_rupicapra,Bovidae,Artiodactyla,Mammalia,
Pan_troglodytes,Pan_troglodytes,Hominidae,Primates,Mammalia,
Sus_scrofa,Sus_scrofa,Suidae,Artiodactyla,Mammalia,
Miniopterus_schreibersii,Miniopterus_schreibersii,Vespertilionidae,Chiroptera,Mammalia,
Rat,Rattus_rattus,Muridae,Rodentia,Mammalia,Rattus_rattus
Eothenomys_cachinus,Eothenomys_cachinus,Cricetidae,Rodentia,Mammalia,
Acerodon_celebensis,Acerodon_celebensis,Pteropodidae,Chiroptera,Mammalia,
Homo_sapiens,Homo_sapiens,Hominidae,Primates,Mammalia,
Epomophorus_gambianus,Epomophorus_gambianus,Pteropodidae,Chiroptera,Mammalia,
Felis_catus,Felis_catus,Felidae,Carnivora,Mammalia,
Pteropus_alecto,Pteropus_alecto,Pteropodidae,Chiroptera,Mammalia,
Cervus_nippon,Cervus_nippon,Cervidae,Artiodactyla,Mammalia,
Pantholops_hodgsonii,Pantholops_hodgsonii,Bovidae,Artiodactyla,Mammalia,
Delphinus,Tursiops_truncatus,Delphinidae,Artiodactyla,Mammalia,Tursiops_truncatus
Rattus_norvegicus,Rattus_norvegicus,Muridae,Rodentia,Mammalia,
Bison_bison,Bison_bison,Bovidae,Artiodactyla,Mammalia,
Buffalo,Bubalis_bubalis,Bovidae,Artiodactyla,Mammalia,Bubalis_bubalis
Pipistrellus_pipistrellus,Pipistrellus_pipistrellus,Vespertilionidae,Chiroptera,Mammalia,
Myotis_daubentonii,Myotis_daubentonii,Vespertilionidae,Chiroptera,Mammalia,
Bos_indicus,Bos_indicus,Bovidae,Artiodactyla,Mammalia,
Raccoon,Procyon_lotor,Procyonidae,Carnivora,Mammalia,Procyon_lotor
Crossbred_cattle,Bos_taurus,Bovidae,Artiodactyla,Mammalia,Bos_taurus
Elephas_maximus,Elephas_maximus,Elephantidae,Proboscidea,Mammalia,
Artibeus_hirsutus,Artibeus_hirsutus,Phyllostomidae,Chiroptera,Mammalia,
Canis_lupus,Canis_lupus,Canidae,Carnivora,Mammalia,
Pan_paniscus,Pan_paniscus,Hominidae,Primates,Mammalia,
Pronghorn,Antilocapra_americana,Antilocapridae,Artiodactyla,Mammalia,Antilocapra_americana
Tapir,Tapirus_terrestris_,Tapiridae,Perissodactyla,Mammalia,Tapirus_terrestris 
Neophocaena_phocaenoides_asiaeorientalis,Neophocaena_phocaenoides_asiaeorientalis,Phocoenidae,Artiodactyla,Mammalia,
Gorilla_gorilla,Gorilla_gorilla,Hominidae,Primates,Mammalia,Gorilla_gorilla
Phascolarctos_cinereus,Phascolarctos_cinereus,Phascolarctidae,Diprotodontia,Mammalia,
Taphozous_perforatus,Taphozous_perforatus,Emballonuridae,Chiroptera,Mammalia,
Myodes_rutilus,Myodes_rutilus,Cricetidae,Rodentia,Mammalia,
Hipposideros_larvatus,Hipposideros_larvatus,Hipposideridae,Chiroptera,Mammalia,
Western_gray_kangaroo,Macropus_fuliginosus,Macropodidae,Diprotodontia,Mammalia,Macropus_fuliginosus
Rattus_exulans,Rattus_exulans,Muridae,Rodentia,Mammalia,
Molossus_molossus,Molossus_molossus,Molossidae,Chiroptera,Mammalia,
Mastomys_natalensis,Mastomys_natalensis,Muridae,Rodentia,Mammalia,
Oligoryzomys_nigripes,Oligoryzomys_nigripes,Cricetidae,Rodentia,Mammalia,
Reeve's_muntjac,Muntiacus_reevesi,Cervidae,Artiodactyla,Mammalia,Muntiacus_reevesi
Rhinopithecus_bieti,Rhinopithecus_bieti,Cercopithecidae,Primates,Mammalia,
Chaerephon_pumilus,Chaerephon_pumilus,Molossidae,Chiroptera,Mammalia,
Asian_elephant,Elephas_maximus,Elephantidae,Proboscidea,Mammalia,Elephas_maximus
Trichechus_manatus_manatus,Trichechus_manatus_manatus,Trichechidae,Sirenia,Mammalia,
Rattus,Rattus_rattus,Muridae,Rodentia,Mammalia,Rattus_rattus
Rattus_rattus,Rattus_rattus,Muridae,Rodentia,Mammalia,
Suncus_murinus,Suncus_murinus,Soricidae,Eulipotyphla,Mammalia,
Apodemus_agrarius,Apodemus_agrarius,Muridae,Rodentia,Mammalia,
Macaca_fascicularis,Macaca_fascicularis,Cercopithecidae,Primates,Mammalia,
Bubalus_bubalis,Bubalus_bubalis,Bovidae,Artiodactyla,Mammalia,
Sus,Sus_scrofa,Suidae,Artiodactyla,Mammalia,Sus_scrofa
Yak,Bos_grunniens,Bovidae,Artiodactyla,Mammalia,Bos_grunniens
Apodemus_flavicollis,Apodemus_flavicollis,Muridae,Rodentia,Mammalia,
Neovison_vison,Neovison_vison,Mustelidae,Carnivora,Mammalia,
Cavia_porcellus,Cavia_porcellus,Caviidae,Rodentia,Mammalia,
Oryctolagus_cuniculus,Oryctolagus_cuniculus,Leporidae,Lagomorpha,Mammalia,
Tibetan_antelope,Pantholops_hodgsonii,Bovidae,Artiodactyla,Mammalia,Pantholops_hodgsonii
Cervus_elaphus,Cervus_elaphus,Cervidae,Artiodactyla,Mammalia,
Deer,Cervus_nippon,Artiodactyla,Artiodactyla,Mammalia,Cervus_nippon
Microtus_arvalis,Microtus_arvalis,Cricetidae,Rodentia,Mammalia,
Rabbit,Oryctolagus_cuniculus,Leporidae,Lagomorpha,Mammalia,Oryctolagus_cuniculus
Meles_meles,Meles_meles,Mustelidae,Carnivora,Mammalia,
Carollia_perspicillata,Carollia_perspicillata,Phyllostomidae,Chiroptera,Mammalia,
Vulpes_vulpes,Vulpes_vulpes,Canidae,Carnivora,Mammalia,
Marmota_himalayana,Marmota_himalayana,Sciuridae,Rodentia,Mammalia,
Myodes_glareolus,Myodes_glareolus,Cricetidae,Rodentia,Mammalia,
Giant_panda,Ailuropoda_melanoleuca,Ursidae,Carnivora,Mammalia,Ailuropoda_melanoleuca
Lemur_catta,Lemur_catta,Lemuridae,Primates,Mammalia,
Microtus_agrestis,Microtus_agrestis,Cricetidae,Rodentia,Mammalia,
Alpaca,Vicugna_pacos,Camelidae,Artiodactyla,Mammalia,Vicugna_pacos
Red_deer,Cervus_elaphus,Cervidae,Artiodactyla,Mammalia,Cervus_elaphus
Tammar_wallaby,Macropus_eugenii,Macropodidae,Diprotodontia,Mammalia,Macropus_eugenii
Elephant,Elephas_maximus,Elephantidae,Proboscidea,Mammalia,Elephas_maximus
Panthera_leo,Panthera_leo,Felidae,Carnivora,Mammalia,
Alces_alces,Alces_alces,Cervidae,Artiodactyla,Mammalia,
Macaca_fuscata,Macaca_fuscata,Cercopithecidae,Primates,Mammalia,
Zalophus_californianus,Zalophus_californianus,Otariidae,Carnivora,Mammalia,
Sloth_bear,Melursus_ursinus,Ursidae,Carnivora,Mammalia,Melursus_ursinus
Vicugna_pacos,Vicugna_pacos,Camelidae,Artiodactyla,Mammalia,
Tursiops_truncatus,Tursiops_truncatus,Delphinidae,Artiodactyla,Mammalia,
Macropus_eugenii,Macropus_eugenii,Macropodidae,Diprotodontia,Mammalia,
Equus_africanus_asinus,Equus_africanus_asinus,Equidae,Perissodactyla,Mammalia,
